Sci_C2_Y4_M3_L2: {'room': 'CB2.6', 'time': 'THU10:15'}
Sci_C2_Y4_M3_L3: {'room': 'CB2.6', 'time': 'THU11:15'}
Sci_C1_Y2_M2_L1: {'room': 'CB5.1', 'time': 'THU12:15'}
Sci_C1_Y2_M2_L2: {'room': 'CB5.1', 'time': 'THU13:15'}
Sci_C1_Y2_M2_L3: {'room': 'CB5.1', 'time': 'THU14:15'}
Eng_C4_Y4_M4_L1: {'room': 'CB5.7', 'time': 'MON10:15'}
Eng_C4_Y4_M4_L2: {'room': 'CB5.7', 'time': 'MON11:15'}
Eng_C4_Y4_M4_L3: {'room': 'CB5.7', 'time': 'MON12:15'}
Hum_C2_Y2_M1_L1: {'room': 'CB5.6', 'time': 'MON10:15'}
Hum_C2_Y2_M1_L2: {'room': 'CB5.6', 'time': 'MON11:15'}
Hum_C2_Y2_M1_L3: {'room': 'CB5.6', 'time': 'MON12:15'}
Hum_C1_Y4_M4_L1: {'room': 'CB4.9', 'time': 'MON10:15'}
Hum_C1_Y4_M4_L2: {'room': 'CB4.9', 'time': 'MON11:15'}
Hum_C1_Y4_M4_L3: {'room': 'CB4.9', 'time': 'MON12:15'}
Hum_C2_Y4_M5_L1: {'room': 'CB4.7', 'time': 'MON10:15'}
Hum_C2_Y4_M5_L2: {'room': 'CB4.7', 'time': 'MON11:15'}
Hum_C2_Y4_M5_L3: {'room': 'CB4.7', 'time': 'MON12:15'}
Sci_C2_Y2_M3_L1: {'room': 'CB3.16', 'time': 'MON10:15'}
Sci_C2_Y2_M3_L2: {'room': 'CB3.16', 'time': 'MON11:15'}
Sci_C2_Y2_M3_L3: {'room': 'CB3.16', 'time': 'MON12:15'}
Sci_C3_Y1_M1_L1: {'room': 'CB5.7', 'time': 'TUE13:15'}
Sci_C3_Y1_M1_L2: {'room': 'CB5.7', 'time': 'TUE14:15'}
Sci_C3_Y1_M1_L3: {'room': 'CB5.7', 'time': 'TUE15:15'}
Sci_C3_Y1_M2_L1: {'room': 'CB5.7', 'time': 'WED10:15'}
Sci_C3_Y1_M2_L2: {'room': 'CB5.7', 'time': 'WED11:15'}
Sci_C3_Y1_M2_L3: {'room': 'CB5.7', 'time': 'WED12:15'}
Sci_C3_Y2_M4_L1: {'room': 'CB3.15', 'time': 'MON10:15'}
Sci_C3_Y2_M4_L2: {'room': 'CB3.15', 'time': 'MON11:15'}
Sci_C3_Y2_M4_L3: {'room': 'CB3.15', 'time': 'MON12:15'}
Eng_C4_Y4_M1_L1: {'room': 'CB5.7', 'time': 'MON13:15'}
Eng_C4_Y4_M1_L2: {'room': 'CB5.7', 'time': 'MON14:15'}
Eng_C4_Y4_M1_L3: {'room': 'CB5.7', 'time': 'MON15:15'}
Eng_C4_Y4_M5_L1: {'room': 'CB5.7', 'time': 'TUE10:15'}
Eng_C4_Y4_M5_L2: {'room': 'CB5.7', 'time': 'TUE11:15'}
Eng_C4_Y4_M5_L3: {'room': 'CB5.7', 'time': 'TUE12:15'}
Eng_C1_Y2_M1_L1: {'room': 'CB5.6', 'time': 'MON13:15'}
Eng_C1_Y2_M1_L2: {'room': 'CB5.6', 'time': 'MON14:15'}
Eng_C1_Y2_M1_L3: {'room': 'CB5.6', 'time': 'MON15:15'}
Hum_C4_Y2_M4_L1: {'room': 'CB4.9', 'time': 'MON13:15'}
Hum_C4_Y2_M4_L2: {'room': 'CB4.9', 'time': 'MON14:15'}
Hum_C4_Y2_M4_L3: {'room': 'CB4.9', 'time': 'MON15:15'}
Hum_C4_Y1_M2_L1: {'room': 'CB5.6', 'time': 'TUE10:15'}
Hum_C4_Y1_M2_L2: {'room': 'CB5.6', 'time': 'TUE11:15'}
Hum_C4_Y1_M2_L3: {'room': 'CB5.6', 'time': 'TUE12:15'}
Hum_C3_Y2_M4_L1: {'room': 'CB4.7', 'time': 'MON13:15'}
Hum_C3_Y2_M4_L2: {'room': 'CB4.7', 'time': 'MON14:15'}
Hum_C3_Y2_M4_L3: {'room': 'CB4.7', 'time': 'MON15:15'}
Hum_C2_Y2_M3_L1: {'room': 'CB3.16', 'time': 'MON13:15'}
Hum_C2_Y2_M3_L2: {'room': 'CB3.16', 'time': 'MON14:15'}
Hum_C2_Y2_M3_L3: {'room': 'CB3.16', 'time': 'MON15:15'}
Sci_C1_Y2_M4_L1: {'room': 'CB3.15', 'time': 'MON13:15'}
Sci_C1_Y2_M4_L2: {'room': 'CB3.15', 'time': 'MON14:15'}
Sci_C1_Y2_M4_L3: {'room': 'CB3.15', 'time': 'MON15:15'}
Sci_C4_Y2_M2_L1: {'room': 'CB4.9', 'time': 'TUE10:15'}
Sci_C4_Y2_M2_L2: {'room': 'CB4.9', 'time': 'TUE11:15'}
Sci_C4_Y2_M2_L3: {'room': 'CB4.9', 'time': 'TUE12:15'}
Sci_C1_Y1_M1_L1: {'room': 'CB5.6', 'time': 'WED10:15'}
Sci_C1_Y1_M1_L2: {'room': 'CB5.6', 'time': 'WED11:15'}
Sci_C1_Y1_M1_L3: {'room': 'CB5.6', 'time': 'WED12:15'}
Sci_C2_Y2_M4_L1: {'room': 'CB5.6', 'time': 'TUE13:15'}
Sci_C2_Y2_M4_L2: {'room': 'CB5.6', 'time': 'TUE14:15'}
Sci_C2_Y2_M4_L3: {'room': 'CB5.6', 'time': 'TUE15:15'}
Sci_C1_Y2_M3_L1: {'room': 'CB4.7', 'time': 'TUE10:15'}
Sci_C1_Y2_M3_L2: {'room': 'CB4.7', 'time': 'TUE11:15'}
Sci_C1_Y2_M3_L3: {'room': 'CB4.7', 'time': 'TUE12:15'}
Hum_C4_Y3_M5_L1: {'room': 'CB5.8', 'time': 'MON13:15'}
Hum_C4_Y3_M5_L2: {'room': 'CB5.8', 'time': 'MON14:15'}
Hum_C4_Y3_M5_L3: {'room': 'CB5.8', 'time': 'MON15:15'}
Hum_C2_Y2_M2_L1: {'room': 'CB5.8', 'time': 'TUE10:15'}
Hum_C2_Y2_M2_L2: {'room': 'CB5.8', 'time': 'TUE11:15'}
Hum_C2_Y2_M2_L3: {'room': 'CB5.8', 'time': 'TUE12:15'}
Hum_C3_Y4_M3_L1: {'room': 'CB5.8', 'time': 'WED10:15'}
Hum_C3_Y4_M3_L2: {'room': 'CB5.8', 'time': 'WED11:15'}
